,stn_name,stn_id,stn_lon,stn_lat,stn_ele,stn_obs_hgt,stn_mnet_id,stn_tmzn,stn_datetime_start,stn_datetime_end,stn_notes
263,TRIMMER,TRMC1,-119.306592,36.91105,1487,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 18:52, 
251,PNF21 PORTABLE,TR180,-120.770911,40.098689,5539,6.1,2,America/Los_Angeles,10/15/2001 0:00,10/20/2017 18:59, 
262,STONYFORD,SYWC1,-122.572894,39.367294,1263,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 19:26, 
260,KNF95 PORTABLE,TR189,-123.098931,41.64675,3797,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 19:02, 
259,SCHOOLHOUSE,SHUC1,-123.906353,41.138211,2653,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 19:01, 
258,Saddleback,SLEC1,-120.865278,39.6375,6670,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 19:18, 
257,SAC NWR,NWRC1,-122.1825,39.417222,120,6.1,2,America/Los_Angeles,7/26/2001 0:00,10/20/2017 19:29, 
256,ROCK CREEK,RCEC1,-118.678406,37.559825,7103,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 19:04, 
255,MARQUEZ 2011,MRQC1,-120.773,36.359694,2571,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 18:50, 
254,REDDING,RRAC1,-122.292175,40.515792,499,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 19:24, 
253,RAVENDALE,RVDC1,-120.316583,40.731222,5450,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 18:59, 
261,SHAVER,SHVC1,-119.261686,37.136831,5632,6.1,2,America/Los_Angeles,12/11/2001 0:00,10/20/2017 18:56, 
306,BRECKENRIDGE,BKGC1,-118.595186,35.453625,7485,6.1,2,America/Los_Angeles,6/7/2004 0:00,10/20/2017 18:51, 
343,LNF07 PORTABLE,TS877,-121.306028,40.700528,5251,6.1,2,America/Los_Angeles,10/16/2009 0:00,10/20/2017 18:53, 
308,OLEMA VALLEY,OVYC1,-122.795833,38.0425,37,6.1,2,America/Los_Angeles,5/23/2005 0:00,10/20/2017 19:13, 
380,TNF 03 PORTABLE,TT142,-120.160889,39.566139,6260,6.1,2,America/Los_Angeles,7/24/2012 0:00,10/20/2017 19:35, 
377,SLATE CREEK,TTEC1,-123.659964,41.341761,4178,6.1,2,America/Los_Angeles,1/9/2012 0:00,10/20/2017 18:57, 
375,CORDOZA RIDGE,TT119,-121.528453,37.168342,2331,6.1,2,America/Los_Angeles,12/21/2011 0:00,10/20/2017 19:02, 
374,KNF98 Portable,TT109,-122.201667,41.739417,5200,6.1,2,America/Los_Angeles,1/6/2012 0:00,10/19/2017 17:20, 
373,BLACKS MOUNTAIN,BKOC1,-121.178953,40.724567,5725,6.1,2,America/Los_Angeles,12/7/2011 0:00,10/20/2017 19:05, 
371,SFMU PORTABLE,TT100,-122.9754,40.229717,2870,6.1,2,America/Los_Angeles,10/26/2011 0:00,10/20/2017 19:27, 
368,YNP PORTABLE,YNWC1,-119.63485,37.51235,4827,6.1,2,America/Los_Angeles,4/24/2012 0:00,10/20/2017 19:02, 
367,IRAWS 10 (DP 34),TT080,-118.646111,36.103389,6266,6.1,2,America/Los_Angeles,6/28/2012 0:00,9/23/2017 22:45, 
366,BARON,RWBC1,-120.024283,38.854453,6336,6.1,2,America/Los_Angeles,7/21/2011 0:00,10/20/2017 18:51, 
365,LIVERMORE FIRE DEPARTMENT,TT060,-121.823056,37.656111,440,6.1,2,America/Los_Angeles,8/15/2011 0:00,10/20/2017 19:30, 
364,IRAWS 18 (DUTCH CREEK),TT016,-123.022917,41.968444,4887,6.1,2,America/Los_Angeles,6/22/2011 0:00,10/20/2017 19:46, 
363,NRAWS 1 (Reno),PRAN2,-119.675,39.541633,5450,6.1,2,America/Los_Angeles,5/11/2011 0:00,10/20/2017 19:44, 
362,ATLAS PEAK,ATLC1,-122.2648,38.474847,1934,6.1,2,America/Los_Angeles,1/20/2011 0:00,10/20/2017 19:29, 
361,BOLAM,BOLC1,-122.209714,41.534125,4489,6.1,2,America/Los_Angeles,8/1/2011 0:00,10/20/2017 19:03, 
359,PINECREST 2,PNWC1,-120.010586,38.186161,5706,6.1,2,America/Los_Angeles,6/20/2011 0:00,10/20/2017 18:57, 
381,SMITH PEAK (STF),SEWC1,-120.100811,37.800522,3871,6.1,2,America/Los_Angeles,6/29/2012 0:00,10/20/2017 19:16, 
382,SWAIN MOUNTAIN,SWNC1,-121.1041,40.445269,6099,6.1,2,America/Los_Angeles,6/6/2013 0:00,10/20/2017 19:19, 
384,RICE CANYON,RNYC1,-120.328839,39.525014,6943,6.1,2,America/Los_Angeles,11/16/2012 0:00,10/20/2017 19:30, 
385,DENTEN CREEK,MWKC1,-120.594494,39.779475,5149,6.1,2,America/Los_Angeles,8/6/2013 0:00,10/20/2017 19:34, 
402,CALFIRE PORTABLE 17,TT467,-122.219167,37.184722,290,6.1,2,America/Los_Angeles,9/2/2017 0:26,10/20/2017 19:20, 
401,MDF09 PORTABLE,TT446,-121.503967,41.443883,4800,6.1,2,UTC,10/13/2017 16:41,10/20/2017 19:37, 
400,MDF10 PORTABLE,TT445,-120.56155,41.865567,5260,6.1,2,UTC,10/16/2017 12:41,10/20/2017 19:37, 
399,OAK RIDGE,OAAC1,-123.308389,38.738056,1890,6.1,2,America/Los_Angeles,9/1/2016 23:36,7/10/2017 15:33, 
398,TAHOE DONNER,TADC1,-120.273389,39.338194,7399,6.1,2,America/Los_Angeles,8/23/2016 21:36,7/10/2017 15:33, 
