,stn_name,stn_id,stn_lon,stn_lat,stn_ele,stn_obs_hgt,stn_mnet_id,stn_tmzn,stn_datetime_start,stn_datetime_end,stn_state,stn_county,stn_cwa,stn_notes
13,"Hollister, Ca",KCVH,-121.4103,36.8933,229.0,10.0,1,America/Los_Angeles,2009-09-23 00:00:00,2019-10-09 19:20:00,CA,San Benito,MTR, 
473,Holtzel Road,PG390,-120.12892,37.7383,3184.0,10.0,229,America/Los_Angeles,2019-06-19 00:14:00,2019-10-09 19:20:00,CA,Mariposa,HNX, 
492,Homestead Drive,PG442,-122.01813,40.72922,1873.0,10.0,229,America/Los_Angeles,2019-07-03 21:14:00,2019-10-09 19:20:00,CA,Shasta,STO, 
9,Homewood,TS850,-120.1708,39.0836,7142.0,6.1,2,America/Los_Angeles,2019-10-09 12:59:33.737400,2019-10-09 12:59:33.737404,CA,Placer,REV, 
21,Homewood,HMDC1,-120.171153,39.0835,7121.0,6.1,2,America/Los_Angeles,2010-06-23 00:00:00,2019-10-09 19:19:00,CA,Placer,REV, 
363,Honey Lane,PG316,-122.18215,40.53984,528.0,10.0,229,America/Los_Angeles,2019-05-03 14:44:00,2019-10-09 19:20:00,CA,Shasta,STO, 
283,Hopewell Road,PG239,-119.17173,36.77524,2372.0,10.0,229,America/Los_Angeles,2019-03-24 06:14:00,2019-10-09 19:20:00,CA,Fresno,HNX, 
392,Horizon Court,PG354,-120.79403,38.63118,1999.0,10.0,229,America/Los_Angeles,2019-05-11 20:34:00,2019-10-09 19:20:00,CA,El Dorado,STO, 
531,House Green Valley Road,PG510,-122.20367,38.24758,1287.0,10.0,229,America/Los_Angeles,2019-07-26 18:14:00,2019-10-09 19:20:00,CA,Solano,STO, 
435,Hout Road,PG407,-120.90731,38.43716,761.0,10.0,229,America/Los_Angeles,2019-05-27 00:14:00,2019-10-09 19:20:00,CA,Amador,STO, 
336,Howard Drive,PG265,-122.40607,40.55059,712.0,10.0,229,America/Los_Angeles,2019-04-25 18:14:00,2019-10-09 19:20:00,CA,Shasta,STO, 
337,Huffmaster Road,PG280,-122.38443,39.24022,1041.0,10.0,229,America/Los_Angeles,2019-04-25 18:14:00,2019-10-09 19:20:00,CA,Colusa,STO, 
313,Humboldt Redwood St. Park,PG274,-124.03106,40.33728,575.0,10.0,229,America/Los_Angeles,2019-04-13 18:14:00,2019-10-09 19:20:00,CA,Humboldt,EKA, 
25,Humbug Summit,HMRC1,-121.3827,40.109517,6714.0,6.1,2,America/Los_Angeles,2012-07-24 00:00:00,2019-10-09 19:21:00,CA,Plumas,STO, 
288,Ida Clayton Road,PG244,-122.66679,38.67036,2252.0,10.0,229,America/Los_Angeles,2019-04-18 21:34:00,2019-10-09 19:20:00,CA,Sonoma,MTR, 
460,Indian Peak Road,PG412,-119.85008,37.40326,2033.0,10.0,229,America/Los_Angeles,2019-06-06 03:14:00,2019-10-09 19:20:00,CA,Mariposa,HNX, 
295,Indian Valley Road,PG208,-120.65433,36.02475,1658.0,10.0,229,America/Los_Angeles,2019-04-03 20:24:00,2019-10-09 19:20:00,CA,Monterey,MTR, 
227,Jackass Ridge Road,PG155,-120.20145,37.77463,3413.0,10.0,229,America/Los_Angeles,2018-10-26 09:24:00,2019-10-09 19:00:00,CA,Tuolumne,STO, 
540,Jager Junction,PG523,-123.82709,40.5588,3512.0,10.0,229,America/Los_Angeles,2019-08-05 15:14:00,2019-10-09 19:20:00,CA,Humboldt,EKA, 
354,James George Drive,PG216,-119.12852,36.75234,2049.0,10.0,229,America/Los_Angeles,2019-05-01 18:14:00,2019-10-09 19:20:00,CA,Fresno,HNX, 
309,Jamieson Road,PG269,-121.42647,37.03553,1134.0,10.0,229,America/Los_Angeles,2019-04-12 15:44:00,2019-10-09 19:20:00,CA,Santa Clara,MTR, 
360,Jaquima Drive,PG345,-120.69934,38.10119,1738.0,10.0,229,America/Los_Angeles,2019-05-03 06:14:00,2019-10-09 19:20:00,CA,Calaveras,STO, 
365,Jellys Ferry Road,PG335,-122.14932,40.3713,440.0,10.0,229,America/Los_Angeles,2019-05-03 14:44:00,2019-10-09 19:20:00,CA,Tehama,STO, 
496,John Born Road,PG448,-121.23083,39.25697,1417.0,10.0,229,America/Los_Angeles,2019-07-06 21:14:00,2019-10-09 19:20:00,CA,Nevada,STO, 
119,John Muir Parkway,PG049,-122.24458,38.01368,103.0,10.0,229,America/Los_Angeles,2018-06-13 09:14:00,2019-10-09 19:20:00,CA,Contra Costa,MTR, 
233,Jordan Creek Road,PG184,-120.05934,37.75541,2501.0,10.0,229,America/Los_Angeles,2018-10-27 22:54:00,2019-10-09 19:20:00,CA,Mariposa,HNX, 
325,Kelly Ridge Road,PG288,-121.46703,39.52057,1081.0,10.0,229,America/Los_Angeles,2019-04-17 17:34:00,2019-10-09 19:20:00,CA,Butte,STO, 
155,Keyes Ave,PG018,-122.4595,38.57784,1722.0,10.0,229,America/Los_Angeles,2018-08-03 13:54:00,2019-10-09 19:20:00,CA,,, 
174,King Ridge Road,PG084,-123.19231,38.60106,1470.0,10.0,229,America/Los_Angeles,2018-08-19 02:04:00,2019-10-09 19:20:00,CA,Sonoma,MTR, 
573,King Ridge Road East,PG554,-123.20463,38.60186,1707.0,10.0,229,America/Los_Angeles,2019-08-17 00:14:00,2019-10-09 19:20:00,CA,Sonoma,MTR, 
525,Kneeland Road,PG469,-123.82355,40.53583,2619.0,10.0,229,America/Los_Angeles,2019-07-26 01:34:00,2019-10-09 19:20:00,CA,Humboldt,EKA, 
48,Knf98 Portable,TT109,-122.201739,41.739419,6130.0,6.1,2,America/Los_Angeles,2012-01-06 00:00:00,2019-10-09 19:20:00,CA,Siskiyou,MFR, 
414,Knoxville,PG358,-122.37319,38.83807,1998.0,10.0,229,America/Los_Angeles,2019-05-22 00:14:00,2019-10-09 19:20:00,CA,Napa,MTR, 
516,La Gloria Road,PG498,-121.89659,36.54827,124.0,10.0,229,America/Los_Angeles,2019-07-17 03:14:00,2019-10-09 19:20:00,CA,Monterey,MTR, 
499,La Rocca,PG486,-121.66035,39.85529,2311.0,10.0,229,America/Los_Angeles,2019-07-07 21:24:00,2019-10-09 19:20:00,CA,Butte,STO, 
456,Lado Road,PG414,-119.63611,37.00377,1181.0,10.0,229,America/Los_Angeles,2019-06-01 15:14:00,2019-10-09 19:20:00,CA,Fresno,HNX, 
315,Ladoga Stonyford,PG289,-122.5213,39.2978,1344.0,10.0,229,America/Los_Angeles,2019-04-14 18:14:00,2019-10-09 19:20:00,CA,Colusa,STO, 
361,Laguna Seca,PG268,-121.76199,36.57738,528.0,10.0,229,America/Los_Angeles,2019-05-03 14:44:00,2019-10-09 19:20:00,CA,Monterey,MTR, 
65,Lake County Raws1,LKRC1,-122.740511,38.80645,4724.0,6.1,2,America/Los_Angeles,2013-08-09 00:00:00,2019-10-09 17:05:00,CA,Lake,STO, 
269,Lake De Sabla,PG145,-121.6122,39.8719,2760.0,10.0,229,America/Los_Angeles,2018-12-27 15:44:00,2019-10-09 19:20:00,CA,Butte,STO, 
609,Lake Sonoma,PG520,-123.05018,38.71675,1258.0,10.0,229,America/Los_Angeles,2019-08-30 12:24:00,2019-10-09 19:00:00,CA,Sonoma,MTR, 
462,Lakeside Road,PG421,-119.97763,37.5436,3150.0,10.0,229,America/Los_Angeles,2019-06-07 03:14:00,2019-10-09 19:20:00,CA,Mariposa,HNX, 
249,Larabee Valley,PG204,-123.67946,40.44043,2466.0,10.0,229,America/Los_Angeles,2018-12-04 18:14:00,2019-10-09 19:20:00,CA,Humboldt,EKA, 
605,Las Aquilas,PG542,-121.2923,36.4456,597.0,10.0,229,America/Los_Angeles,2019-08-29 03:14:00,2019-10-09 19:20:00,CA,Monterey,MTR, 
242,Lassen Ave,PG174,-122.42361,40.43206,780.0,10.0,229,America/Los_Angeles,2018-11-08 18:14:00,2019-10-09 19:20:00,CA,Shasta,STO, 
297,Laughlin Mountain,PG232,-123.27237,39.32326,3188.0,10.0,229,America/Los_Angeles,2019-04-09 13:24:00,2019-10-09 19:20:00,CA,Mendocino,EKA, 
429,Laytonville North,PG369,-123.53389,39.77447,2061.0,10.0,229,America/Los_Angeles,2019-05-24 21:14:00,2019-10-09 19:20:00,CA,Mendocino,EKA, 
20,Lincoln Regional Karl Harder Field,KLHM,-121.3513,38.9092,121.0,10.0,1,America/Los_Angeles,2010-03-04 00:00:00,2019-10-09 19:15:00,CA,Placer,STO, 
545,Little Giant Mill Road,PG582,-121.76194,40.30659,3532.0,10.0,229,America/Los_Angeles,2019-08-07 03:14:00,2019-10-09 19:20:00,CA,Tehama,STO, 
41,Livermore Fire Department,LVFC1,-121.823289,37.654864,439.0,6.1,2,America/Los_Angeles,2011-08-15 00:00:00,2019-10-09 18:30:00,CA,Alameda,MTR, 
94,Livermore Training Facility,PG001,-121.71067,37.69853,602.0,10.0,229,America/Los_Angeles,2018-05-16 19:14:00,2019-10-04 00:00:00,CA,Alameda,MTR, 
14,Lnf07 Portable,TS877,-121.449861,40.618361,3229.0,6.1,2,America/Los_Angeles,2009-10-16 00:00:00,2019-07-13 17:53:00,CA,Shasta,STO, 
22,Lnf08 Portable,TS924,-121.449861,40.618361,3229.0,6.1,2,America/Los_Angeles,2010-07-12 00:00:00,2019-10-09 19:08:00,CA,Shasta,STO, 
24,Lnf09 Portable,POBC1,-121.481467,39.99545,5350.0,6.1,2,America/Los_Angeles,2010-09-20 00:00:00,2019-10-09 19:09:00,CA,Butte,STO, 
